ID,YEAR,연대,TEAM,LEAGUE,G,win,득점,실점
1855,1990년,1990년대,Atlanta Braves           ,NL      ,162,0.401,682,821
1856,1990년,1990년대,Baltimore Orioles        ,AL      ,161,0.472,669,698
1857,1990년,1990년대,Boston Red Sox           ,AL      ,162,0.543,699,664
1858,1990년,1990년대,California Angels        ,AL      ,162,0.494,690,706
1859,1990년,1990년대,Chicago Cubs             ,NL      ,162,0.475,690,774
1860,1990년,1990년대,Chicago White Sox        ,AL      ,162,0.58,682,633
?,1990년,1990년대,Cincinnati Reds          ,NL      ,162,0.562,693,597
1862,1990년,1990년대,Cleveland Indians        ,AL      ,162,0.475,732,737
1863,1990년,1990년대,Detroit Tigers           ,AL      ,162,0.488,750,754
1864,1990년,1990년대,Houston Astros           ,NL      ,162,0.463,573,656
1865,1990년,1990년대,Kansas City Royals       ,AL      ,161,0.466,707,709
1866,1990년,1990년대,Los Angeles Dodgers      ,NL      ,162,0.531,728,685
1867,1990년,1990년대,Milwaukee Brewers        ,AL      ,162,0.457,732,760
1868,1990년,1990년대,Minnesota Twins          ,AL      ,162,0.457,666,729
1869,1990년,1990년대,Montreal Expos           ,NL      ,162,0.525,662,598
1870,1990년,1990년대,New York Mets            ,NL      ,162,0.562,775,613
1871,1990년,1990년대,New York Yankees         ,AL      ,162,0.414,603,749
1872,1990년,1990년대,Oakland Athletics        ,AL      ,162,0.636,733,570
1873,1990년,1990년대,Philadelphia Phillies    ,NL      ,162,0.475,646,729
1874,1990년,1990년대,Pittsburgh Pirates       ,NL      ,162,0.586,733,619
1875,1990년,1990년대,San Diego Padres         ,NL      ,162,0.463,673,673
1876,1990년,1990년대,San Francisco Giants     ,NL      ,162,0.525,719,710
1877,1990년,1990년대,Seattle Mariners         ,AL      ,162,0.475,640,680
1878,1990년,1990년대,St. Louis Cardinals      ,NL      ,162,0.432,599,698
1879,1990년,1990년대,Texas Rangers            ,AL      ,162,0.512,676,696
1880,1990년,1990년대,Toronto Blue Jays        ,AL      ,162,0.531,767,661
1881,1991년,1990년대,Atlanta Braves           ,NL      ,162,0.58,749,644
1882,1991년,1990년대,Baltimore Orioles        ,AL      ,162,0.414,686,796
1883,1991년,1990년대,Boston Red Sox           ,AL      ,162,0.519,731,712
1884,1991년,1990년대,California Angels        ,AL      ,162,0.5,653,649
1885,1991년,1990년대,Chicago Cubs             ,NL      ,160,0.481,695,734
1886,1991년,1990년대,Chicago White Sox        ,AL      ,162,0.537,758,681
1887,1991년,1990년대,Cincinnati Reds          ,NL      ,162,0.457,689,691
